model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,f1_ci_low,f1_ci_high,auc_ci_low,auc_ci_high
ResNet50,LogReg_C10,ANOVA10,0.6750,0.5172,0.7647,0.5357,0.6531,15,39,12,14,0.5068,0.8432,0.2605,0.7795,0.6197,0.9075,0.2706,0.7916,0.4801,0.8302
ResNet50,SVM_C0.1,ANOVA20,0.6750,0.4828,0.7843,0.5185,0.6863,14,40,11,15,0.5599,0.7901,0.2066,0.7668,0.5757,0.9880,0.2940,0.7071,0.5792,0.8360
DenseNet121,SVM_C0.1,ANOVA10,0.6750,0.4483,0.8039,0.5000,0.7552,13,41,10,16,0.6101,0.7399,0.1389,0.7545,0.6353,0.9756,0.2668,0.6777,0.6701,0.8620
DenseNet121,SVM_C1,ANOVA10,0.6750,0.4483,0.8039,0.5000,0.7546,13,41,10,16,0.5738,0.7762,0.1389,0.7545,0.6891,0.9218,0.2411,0.7112,0.6846,0.8476
DenseNet121,AdaBoost_100,ANOVA200_PCA10,0.6750,0.4138,0.8235,0.4800,0.6815,12,42,9,17,0.5738,0.7762,0.2077,0.6323,0.6185,1.0000,0.2956,0.6453,0.5229,0.8928
ResNet50,GBM_200,PCA5,0.6750,0.3793,0.8431,0.4583,0.6836,11,43,8,18,0.5599,0.7901,0.1126,0.6341,0.7474,0.9435,0.1766,0.6992,0.5182,0.8321
ResNet50,GBM_100,PCA5,0.6750,0.3793,0.8431,0.4583,0.6761,11,43,8,18,0.5900,0.7600,0.1126,0.6341,0.7138,0.9771,0.2061,0.6597,0.5502,0.8080
DenseNet121,SVM_C1,ANOVA200_PCA5,0.6750,0.3103,0.8824,0.4091,0.6700,9,45,6,20,0.5738,0.7762,0.0000,0.7241,0.7249,1.0000,0.0000,0.7280,0.5811,0.8607
DenseNet121,SVM_C1,PCA5,0.6750,0.2414,0.9216,0.3500,0.6917,7,47,4,22,0.5475,0.8025,0.0000,0.6867,0.7936,1.0000,0.0000,0.7013,0.5798,0.8687
ResNet50,SVM_linear_C1,PCA10,0.6750,0.2069,0.9412,0.3158,0.7011,6,48,3,23,0.6101,0.7399,0.0000,0.5347,0.8413,1.0000,0.0000,0.5976,0.5575,0.9182
ResNet50,SVM_linear_C1,PCA5,0.6750,0.1379,0.9804,0.2353,0.7153,4,50,1,25,0.6101,0.7399,0.0000,0.3065,0.9313,1.0000,0.0000,0.4804,0.5712,0.9215
ResNet50,GBM_100,ANOVA20,0.6625,0.6207,0.6863,0.5714,0.6586,18,35,16,11,0.4838,0.8412,0.4680,0.7854,0.4411,0.9262,0.4362,0.7294,0.5090,0.8237
DenseNet121,LogReg_C10,ANOVA100_PCA10,0.6625,0.5517,0.7255,0.5424,0.7005,16,37,14,13,0.5326,0.7924,0.2455,0.8611,0.4947,0.9598,0.3014,0.7367,0.4900,0.8330
DenseNet121,LogReg_C1,PCA10,0.6625,0.5172,0.7451,0.5263,0.6924,15,38,13,14,0.5326,0.7924,0.1303,0.8831,0.6187,0.8758,0.1858,0.7927,0.5050,0.8666
ResNet50,LogReg_C1,ANOVA10,0.6625,0.5172,0.7451,0.5263,0.6876,15,38,13,14,0.5112,0.8138,0.1973,0.8294,0.6061,0.8848,0.2255,0.7853,0.5358,0.8405
DenseNet121,LogReg_C1,ANOVA200_PCA10,0.6625,0.4828,0.7647,0.5091,0.6788,14,39,12,15,0.5584,0.7666,0.2205,0.7395,0.6409,0.8936,0.2604,0.7184,0.5847,0.8116
DenseNet121,AdaBoost_100,ANOVA10,0.6625,0.4828,0.7647,0.5091,0.6457,14,39,12,15,0.5326,0.7924,0.3235,0.6365,0.6197,0.9075,0.3467,0.6711,0.5332,0.7735
ResNet50,AdaBoost_100,PCA5,0.6625,0.4483,0.7843,0.4906,0.5801,13,40,11,16,0.5740,0.7510,0.3082,0.5985,0.5949,0.9796,0.4088,0.5714,0.4646,0.7197
ResNet50,RF_100,ANOVA200_PCA10,0.6625,0.4138,0.8039,0.4706,0.6545,12,41,10,17,0.5215,0.8035,0.1291,0.7243,0.6597,0.9512,0.2196,0.7081,0.5313,0.8162
DenseNet121,SVM_C1,ANOVA200_PCA10,0.6625,0.3793,0.8235,0.4490,0.6457,11,42,9,18,0.5931,0.7319,0.0404,0.7062,0.5852,1.0000,0.2112,0.6166,0.5613,0.8363
DenseNet121,AdaBoost_100,ANOVA100_PCA10,0.6625,0.3793,0.8235,0.4490,0.5909,11,42,9,18,0.5448,0.7802,0.2079,0.5521,0.6379,1.0000,0.2599,0.6253,0.3496,0.7983
DenseNet121,RF_100,ANOVA200_PCA10,0.6625,0.3448,0.8431,0.4255,0.6356,10,43,8,19,0.5740,0.7510,0.1957,0.4976,0.6766,1.0000,0.2737,0.5638,0.4648,0.8070
ResNet50,SVM_linear_C1,ANOVA200_PCA10,0.6625,0.1379,0.9608,0.2286,0.6876,4,49,2,25,0.5740,0.7510,0.0000,0.3065,0.8627,1.0000,0.0000,0.4804,0.5680,0.8666
ResNet50,LogReg_C1,ANOVA20,0.6500,0.6552,0.6471,0.5758,0.6444,19,33,18,10,0.4476,0.8524,0.2930,1.0000,0.4702,0.8171,0.2809,0.8472,0.4675,0.8289
DenseNet121,LogReg_C10,PCA5,0.6500,0.5517,0.7059,0.5333,0.6755,16,36,15,13,0.6075,0.6925,0.2200,0.8733,0.5526,0.8583,0.2868,0.7146,0.5599,0.8280
DenseNet121,LogReg_C10,ANOVA200_PCA10,0.6500,0.5172,0.7255,0.5172,0.6437,15,37,14,14,0.5323,0.7677,0.2605,0.7795,0.4947,0.9598,0.3108,0.6877,0.5480,0.7351
DenseNet121,AdaBoost_100,ANOVA200_PCA5,0.6500,0.4828,0.7451,0.5000,0.6667,14,38,13,15,0.5090,0.7910,0.2478,0.7255,0.4895,1.0000,0.2900,0.6866,0.5116,0.8690
ResNet50,LDA,ANOVA20,0.6500,0.4828,0.7451,0.5000,0.6153,14,38,13,15,0.5615,0.7385,0.3235,0.6365,0.5505,0.9331,0.4348,0.5562,0.4927,0.7521
ResNet50,GBM_100,ANOVA100_PCA5,0.6500,0.4828,0.7451,0.5000,0.5828,14,38,13,15,0.5201,0.7799,0.2151,0.7716,0.5047,0.9971,0.2896,0.6975,0.3776,0.8709
DenseNet121,GBM_200,ANOVA200_PCA10,0.6500,0.3793,0.8039,0.4400,0.6822,11,41,10,18,0.5806,0.7194,0.0931,0.6802,0.6353,0.9756,0.2121,0.6120,0.5652,0.8203
ResNet50,RF_100,ANOVA200_PCA5,0.6500,0.3793,0.8039,0.4400,0.6437,11,41,10,18,0.5323,0.7677,0.0972,0.6895,0.6597,0.9512,0.2252,0.6358,0.5060,0.7922
DenseNet121,SVM_C1,PCA10,0.6500,0.3103,0.8431,0.3913,0.6606,9,43,8,20,0.5806,0.7194,0.0000,0.7008,0.6566,1.0000,0.0229,0.6358,0.5824,0.7994
ResNet50,SVM_linear_C1,ANOVA20,0.6500,0.2759,0.8627,0.3636,0.6187,8,44,7,21,0.5323,0.7677,0.0000,0.6331,0.7192,1.0000,0.0000,0.6738,0.5325,0.7500
ResNet50,LogReg_C0.1,ANOVA20,0.6375,0.5862,0.6667,0.5397,0.6721,17,34,17,12,0.4882,0.7868,0.2761,0.8972,0.4325,0.8911,0.2961,0.7606,0.4681,0.8834
DenseNet121,LogReg_C1,PCA5,0.6375,0.5172,0.7059,0.5085,0.6883,15,36,15,14,0.5726,0.7024,0.1973,0.8294,0.6164,0.7945,0.2601,0.7016,0.6081,0.8270
DenseNet121,GBM_200,ANOVA100_PCA5,0.6375,0.5172,0.7059,0.5085,0.6038,15,36,15,14,0.4366,0.8384,0.1028,0.9105,0.4909,0.9272,0.1376,0.8198,0.3046,0.8905
ResNet50,AdaBoost_100,ANOVA100_PCA10,0.6375,0.4828,0.7255,0.4912,0.6031,14,37,14,15,0.4693,0.8057,0.2567,0.7300,0.4051,1.0000,0.3561,0.6408,0.4375,0.8370
DenseNet121,GBM_200,ANOVA200_PCA5,0.6375,0.4483,0.7451,0.4727,0.6680,13,38,13,16,0.4693,0.8057,0.1032,0.7768,0.5415,0.9567,0.1657,0.7290,0.4549,0.8869
DenseNet121,GBM_100,ANOVA100_PCA10,0.6375,0.4138,0.7647,0.4528,0.6376,12,39,12,17,0.5363,0.7387,0.1818,0.6449,0.5901,0.9444,0.2493,0.6226,0.3893,0.8580
DenseNet121,GBM_200,ANOVA100_PCA10,0.6375,0.4138,0.7647,0.4528,0.6200,12,39,12,17,0.5525,0.7225,0.1028,0.7239,0.5901,0.9444,0.0943,0.7179,0.3807,0.8526
ResNet50,AdaBoost_100,ANOVA100_PCA5,0.6375,0.4138,0.7647,0.4528,0.6031,12,39,12,17,0.5100,0.7650,0.2077,0.6323,0.5286,1.0000,0.2766,0.6215,0.4721,0.7606
DenseNet121,RF_100,ANOVA200_PCA5,0.6375,0.3448,0.8039,0.4082,0.6558,10,41,10,19,0.5100,0.7650,0.1428,0.5372,0.6247,0.9899,0.1879,0.6100,0.4636,0.8400
DenseNet121,SVM_C1,ANOVA100_PCA10,0.6375,0.3103,0.8235,0.3830,0.6471,9,42,9,20,0.5726,0.7024,0.0000,0.7008,0.5852,1.0000,0.0318,0.6102,0.5542,0.8167
DenseNet121,LogReg_C1,ANOVA100_PCA10,0.6250,0.5172,0.6863,0.5000,0.7113,15,35,16,14,0.5023,0.7477,0.1973,0.8294,0.5082,0.8664,0.2403,0.7084,0.5453,0.8444
ResNet50,LogReg_C10,ANOVA20,0.6250,0.5172,0.6863,0.5000,0.6166,15,35,16,14,0.5153,0.7347,0.2332,0.7934,0.5412,0.8261,0.2674,0.6960,0.4891,0.7721
ResNet50,GBM_200,ANOVA100_PCA5,0.6250,0.4828,0.7059,0.4828,0.5815,14,36,15,15,0.5023,0.7477,0.2151,0.7716,0.4550,0.9705,0.2918,0.6553,0.3919,0.8093
ResNet50,GBM_200,ANOVA200_PCA10,0.6250,0.3793,0.7647,0.4231,0.6072,11,39,12,18,0.5474,0.7026,0.1322,0.6411,0.5632,0.9750,0.2279,0.5781,0.4774,0.7566
DenseNet121,GBM_100,ANOVA200_PCA10,0.6250,0.3448,0.7843,0.4000,0.6829,10,40,11,19,0.5474,0.7026,0.1109,0.5957,0.6281,0.9428,0.2125,0.5543,0.5641,0.8335
DenseNet121,LDA,ANOVA20,0.6250,0.3448,0.7843,0.4000,0.6072,10,40,11,19,0.4698,0.7802,0.2078,0.4722,0.5412,1.0000,0.2562,0.5448,0.4678,0.7358
ResNet50,AdaBoost_100,PCA10,0.6250,0.3448,0.7843,0.4000,0.5612,10,40,11,19,0.5300,0.7200,0.0375,0.6825,0.6888,0.8821,0.1613,0.5997,0.5233,0.6228
DenseNet121,RF_100,ANOVA100_PCA5,0.6250,0.2759,0.8235,0.3478,0.6183,8,42,9,21,0.5023,0.7477,0.1703,0.3764,0.6086,1.0000,0.2155,0.4810,0.4663,0.7522
DenseNet121,LogReg_C10,PCA10,0.6125,0.5172,0.6667,0.4918,0.6680,15,34,17,14,0.4632,0.7618,0.1303,0.8831,0.4736,0.8645,0.1707,0.7473,0.4691,0.8534
ResNet50,GBM_200,ANOVA200_PCA5,0.6125,0.4828,0.6863,0.4746,0.6423,14,35,16,15,0.5113,0.7137,0.1789,0.8077,0.4422,0.9433,0.2764,0.6364,0.5907,0.7493
ResNet50,GBM_100,ANOVA200_PCA5,0.6125,0.4828,0.6863,0.4746,0.6369,14,35,16,15,0.5275,0.6975,0.1789,0.8077,0.4422,0.9433,0.2833,0.6229,0.6222,0.7197
DenseNet121,AdaBoost_100,ANOVA100_PCA5,0.6125,0.4828,0.6863,0.4746,0.5740,14,35,16,15,0.4850,0.7400,0.2066,0.7668,0.4307,0.9475,0.2653,0.6469,0.4200,0.7181
ResNet50,GBM_100,ANOVA100_PCA10,0.6125,0.4138,0.7255,0.4364,0.5903,12,37,14,17,0.4632,0.7618,0.1291,0.7243,0.3852,1.0000,0.2782,0.5736,0.3814,0.8543
DenseNet121,GBM_100,PCA5,0.6125,0.4138,0.7255,0.4364,0.5538,12,37,14,17,0.5476,0.6774,0.0700,0.7566,0.5418,0.9091,0.0961,0.6833,0.3994,0.7509
DenseNet121,GBM_100,ANOVA100_PCA5,0.6125,0.3793,0.7451,0.4151,0.6166,11,38,13,18,0.4632,0.7618,0.1126,0.6341,0.5072,0.9910,0.1755,0.6255,0.3465,0.8632
ResNet50,AdaBoost_100,ANOVA200_PCA5,0.6000,0.4828,0.6667,0.4667,0.5652,14,34,17,15,0.5306,0.6694,0.2567,0.7300,0.4888,0.8530,0.3615,0.5601,0.5211,0.6740
DenseNet121,GBM_200,PCA10,0.6000,0.4483,0.6863,0.4483,0.5625,13,35,16,16,0.4823,0.7177,0.1367,0.7433,0.5082,0.8664,0.1785,0.6653,0.4240,0.6917
DenseNet121,GBM_200,PCA5,0.6000,0.4138,0.7059,0.4286,0.5483,12,36,15,17,0.5575,0.6425,0.0700,0.7566,0.4727,0.9382,0.0926,0.6548,0.4062,0.7307
ResNet50,GBM_200,ANOVA100_PCA10,0.6000,0.3793,0.7255,0.4074,0.6058,11,37,14,18,0.4590,0.7410,0.0972,0.6895,0.3852,1.0000,0.2746,0.5191,0.4366,0.8470
ResNet50,AdaBoost_100,ANOVA200_PCA10,0.6000,0.3793,0.7255,0.4074,0.5274,11,37,14,18,0.4959,0.7041,0.1785,0.5948,0.5652,0.8929,0.2409,0.5651,0.4035,0.6486
DenseNet121,GBM_100,PCA10,0.5875,0.4138,0.6863,0.4211,0.5673,12,35,16,17,0.4698,0.7052,0.0383,0.7750,0.5082,0.8664,0.0377,0.7060,0.4509,0.7048
ResNet50,GBM_100,ANOVA200_PCA10,0.5875,0.3793,0.7059,0.4000,0.6038,11,36,15,18,0.4698,0.7052,0.1322,0.6411,0.4267,0.9988,0.2258,0.5374,0.5139,0.7133
DenseNet121,RF_100,PCA5,0.5875,0.3103,0.7451,0.3529,0.5842,9,38,13,20,0.4990,0.6760,0.1427,0.4707,0.5685,0.9260,0.2048,0.4803,0.4676,0.7049
DenseNet121,RF_100,PCA10,0.5875,0.2414,0.7843,0.2979,0.6001,7,40,11,22,0.4576,0.7174,0.1329,0.3471,0.5703,1.0000,0.1677,0.4315,0.5140,0.7224
DenseNet121,RF_100,ANOVA100_PCA10,0.5875,0.1724,0.8235,0.2326,0.5686,5,42,9,24,0.5181,0.6569,0.0258,0.3208,0.6708,0.9801,0.0367,0.3922,0.3877,0.7196
DenseNet121,AdaBoost_100,PCA5,0.5750,0.3448,0.7059,0.3704,0.5429,10,36,15,19,0.4738,0.6762,0.0702,0.6365,0.5386,0.8759,0.0944,0.6013,0.4835,0.6553
DenseNet121,AdaBoost_100,PCA10,0.5750,0.2414,0.7647,0.2917,0.5159,7,39,12,22,0.4738,0.6762,0.0070,0.4730,0.5338,1.0000,0.0377,0.4916,0.3881,0.6440
