combo,image,clinical,N11_both_preterm,N10_img_pre_clin_term,N01_img_term_clin_pre,N00_both_term,disagreement,mcnemar_b,mcnemar_c,mcnemar_chi2,mcnemar_pval,cohens_kappa,kappa_interp,yules_q,yules_q_interp
combo1,Image#1 (ResNet50+LDA),Clinical#1 (LDA),10,14,10,46,0.300000,13,11,0.041667,0.838256,0.250000,fair,0.533333,moderate dependence
combo2,Image#1 (ResNet50+LDA),Clinical#2 (LogReg),15,9,12,44,0.262500,10,11,0.000000,1.000000,0.396552,fair,0.718750,moderate dependence
combo3,Image#2 (DenseNet121+SGD),Clinical#1 (LDA),14,32,6,28,0.475000,23,15,1.289474,0.256145,0.116279,slight,0.342466,moderate dependence
combo4,Image#2 (DenseNet121+SGD),Clinical#2 (LogReg),21,25,6,28,0.387500,18,13,0.516129,0.472498,0.261025,fair,0.593496,moderate dependence
